game_name_id,platform,esrb,singleplayer,multyplayer,coop,price,ign_rating,campaign_duration,is_popular,char_customization,world_size,world_diversity,graphics,period,modding,competitive,genre,type,optimization
Fortnite,PC,teen,50,50,50,100,96,100,50,100,85,100,70,2010-sad,50,50,action,battle royale,70
Fortnite,PS,teen,50,50,50,100,96,100,50,100,85,100,70,2010-sad,50,50,action,battle royale,70
Fortnite,XBOX,teen,50,50,50,100,96,100,50,100,85,100,70,2010-sad,50,50,action,battle royale,70
Fortnite,Nintendo,teen,50,50,50,100,96,100,50,100,85,100,70,2010-sad,50,50,action,battle royale,70
Grand Theft Auto V,PC,mature,50,50,50,70,100,100,50,100,100,100,90,2010-sad,50,50,adventure,shooter,92
Grand Theft Auto V,PS,mature,50,50,50,70,100,100,50,100,100,100,90,2010-sad,50,50,adventure,shooter,92
Grand Theft Auto V,XBOX,mature,50,50,50,70,100,100,50,100,100,100,90,2010-sad,50,50,adventure,shooter,92
Grand Theft Auto IV,PC,mature,50,50,0,84,100,100,0,80,85,100,80,2000s,50,0,adventure,shooter,66
Grand Theft Auto IV,PS,mature,50,50,0,84,100,100,0,80,85,100,80,2000s,50,0,adventure,shooter,66
Grand Theft Auto IV,XBOX,mature,50,50,0,84,100,100,0,80,85,100,80,2000s,50,0,adventure,shooter,66
Grand Theft Auto III,PC,mature,50,0,0,86,96,100,0,40,40,70,40,2000s,50,0,adventure,shooter,89
Grand Theft Auto III,PS,mature,50,0,0,86,96,100,0,40,40,70,40,2000s,50,0,adventure,shooter,89
Grand Theft Auto III,XBOX,mature,50,0,0,86,96,100,0,40,40,70,40,2000s,50,0,adventure,shooter,89
Grand Theft Auto: San Andreas,PC,adults,50,0,0,90,94,100,0,40,70,85,40,2000s,50,0,adventure,shooter,88
Grand Theft Auto: San Andreas,PS,adults,50,0,0,90,94,100,0,40,70,85,40,2000s,50,0,adventure,shooter,88
Grand Theft Auto: San Andreas,XBOX,adults,50,0,0,90,94,100,0,40,70,85,40,2000s,50,0,adventure,shooter,88
Grand Theft Auto: Vice City,PC,mature,50,0,0,90,97,80,0,30,50,70,30,2000s,50,0,adventure,shooter,85
Grand Theft Auto: Vice City,PS,mature,50,0,0,90,97,80,0,30,50,70,30,2000s,50,0,adventure,shooter,85
Grand Theft Auto: Vice City,XBOX,mature,50,0,0,90,97,80,0,30,50,70,30,2000s,50,0,adventure,shooter,85
Battlefield 1942,PC,teen,0,50,0,95,93,1,0,1,40,60,30,2000s,0,0,war,shooter,71
Battlefield Vietnam,PC,teen,50,50,0,95,82,1,0,1,40,70,35,2000s,0,0,war,shooter,80
Battlefield 2,PC,teen,50,50,0,95,89,1,0,10,55,75,40,2000s,0,0,war,shooter,90
Battlefield 2142,PC,teen,50,50,0,95,84,1,0,15,55,70,45,2000s,50,0,war,shooter,100
Battlefield: Bad Company,PC,teen,50,50,0,90,85,25,0,15,60,80,55,2000s,50,50,war,shooter,100
Battlefield: Bad Company,PS,teen,50,50,0,90,85,25,0,15,60,80,55,2000s,50,50,war,shooter,100
Battlefield: Bad Company,XBOX,teen,50,50,0,90,85,25,0,15,60,80,55,2000s,50,50,war,shooter,100
Battlefield: Bad Company 2,PC,mature,50,50,50,80,89,40,0,20,70,80,65,2010-sad,50,50,war,shooter,96
Battlefield: Bad Company 2,PS,mature,50,50,50,80,89,40,0,20,70,80,65,2010-sad,50,50,war,shooter,96
